title,duration,mpaa_rating,genre,release_date,user_rating,rating_count,budget,gross
Thor: The Dark World,112.0,PG-13,Action,2013-10-29,6.9,556094.0,170000000.0,644571402.0
Star Trek Into Darkness,132.0,PG-13,Science Fiction,2013-05-05,7.7,449458.0,190000000.0,467365246.0
Oz: The Great and Powerful,130.0,PG,Drama,2013-03-07,,,200000000.0,491868548.0
Iron Man 3,130.0,PG-13,Action,2013-04-18,7.2,710052.0,200000000.0,1215439994.0
World War Z,116.0,PG-13,Science Fiction,2013-06-20,7.0,564082.0,200000000.0,531865000.0
Monsters University,104.0,G,Animation,2013-06-20,7.3,299133.0,200000000.0,743559607.0
Man of Steel,143.0,PG-13,Action,2013-06-12,7.1,657937.0,225000000.0,662845518.0
The Hobbit: The Desolation of Smaug,161.0,PG-13,Fantasy,2013-12-11,7.8,573246.0,250000000.0,958400000.0
Neighbors,96.0,R,Comedy,2014-05-08,6.3,270504.0,18000000.0,268157400.0
22 Jump Street,112.0,R,Comedy,2014-06-05,7.0,325958.0,50000000.0,188441614.0
American Sniper,133.0,R,War,2014-12-11,7.3,409597.0,58800000.0,542307423.0
The Lego Movie,100.0,PG,Animation,2014-02-06,7.8,309295.0,60000000.0,469160692.0
Gone Girl,145.0,R,Thriller,2014-10-01,8.1,782252.0,61000000.0,369330363.0
Divergent,139.0,PG-13,Action,2014-03-14,6.7,405233.0,85000000.0,288747895.0
Teenage Mutant Ninja Turtles,101.0,PG-13,Action,2014-08-07,5.8,194073.0,125000000.0,477200000.0
The Hunger Games: Mockingjay - Part 1,123.0,PG-13,Adventure,2014-11-18,6.6,386742.0,125000000.0,752100229.0
How to Train Your Dragon 2,102.0,PG,Animation,2014-06-12,7.8,285394.0,145000000.0,609123048.0
Godzilla,123.0,PG-13,Thriller,2014-05-14,6.4,359438.0,160000000.0,529076069.0
Big Hero 6,102.0,PG,Animation,2014-10-24,7.8,380953.0,165000000.0,652105443.0
Interstellar,169.0,PG-13,Science Fiction,2014-11-05,8.6,1343549.0,165000000.0,675120017.0
Captain America: The Winter Soldier,136.0,PG-13,Action,2014-03-20,7.7,685903.0,170000000.0,714766572.0
Dawn of the Planet of the Apes,130.0,PG-13,Science Fiction,2014-06-26,7.6,395425.0,170000000.0,710644566.0
Guardians of the Galaxy,121.0,PG-13,Action,2014-07-30,8.0,978222.0,170000000.0,773328629.0
Maleficent,97.0,PG,Fantasy,2014-05-28,,,180000000.0,758539785.0
The Amazing Spider-Man 2,142.0,PG-13,Action,2014-04-16,,,200000000.0,705717432.0
Transformers: Age of Extinction,165.0,PG-13,Action,2014-06-25,,,210000000.0,1091405097.0
X-Men: Days of Future Past,131.0,PG-13,Action,2014-05-15,,,250000000.0,747862775.0
The Hobbit: The Battle of the Five Armies,144.0,PG-13,Fantasy,2014-12-10,,,250000000.0,956019788.0
Straight Outta Compton,147.0,R,Drama,2015-08-13,,,28000000.0,201634991.0
Pitch Perfect 2,115.0,PG-13,Comedy,2015-05-07,,,29000000.0,287506194.0
Fifty Shades of Grey,125.0,R,Drama,2015-02-11,,,40000000.0,571006128.0
The SpongeBob Movie: Sponge Out of Water,93.0,PG,Animation,2015-02-05,,,74000000.0,311594032.0
