title,duration,mpaa_rating,listed_in,release_year,media_type
Paquita Salas,3 Seasons,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Comedies",2018,TV Show
Slasher,3 Seasons,TV-MA,"TV Horror, TV Mysteries, TV Thrillers",2019,TV Show
Forest of Piano,2 Seasons,TV-PG,"Anime Series, International TV Shows",2019,TV Show
Heavy Rescue: 401,2 Seasons,TV-MA,"International TV Shows, Reality TV",2018,TV Show
Marvel's Luke Cage,2 Seasons,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Dramas",2018,TV Show
Dark,2 Seasons,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",2019,TV Show
Go! Live Your Way,2 Seasons,TV-G,"Kids' TV, Spanish-Language TV Shows, Teen TV Shows",2019,TV Show
Magi: The Labyrinth of Magic,2 Seasons,TV-14,"Anime Series, International TV Shows",2013,TV Show
Roonpi Secret Love,3 Seasons,TV-PG,"International TV Shows, Romantic TV Shows, Teen TV Shows",2016,TV Show
Shooter,3 Seasons,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Dramas",2018,TV Show
Young & Hungry,5 Seasons,TV-14,TV Comedies,2017,TV Show
Pac-Man and the Ghostly Adventures,2 Seasons,TV-Y7,"Kids' TV, TV Comedies",2014,TV Show
Dinosaur King,2 Seasons,TV-Y7-FV,"Anime Series, Kids' TV",2008,TV Show
Flaked,2 Seasons,TV-MA,"TV Comedies, TV Dramas",2017,TV Show
Club Friday The Series 7,7 Seasons,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",2016,TV Show
Aquarius,2 Seasons,TV-MA,"Crime TV Shows, TV Dramas",2016,TV Show
World of Winx,2 Seasons,TV-Y7,Kids' TV,2017,TV Show
Fate/Zero,2 Seasons,TV-MA,"Anime Series, International TV Shows",2012,TV Show
Grey's Anatomy,15 Seasons,TV-14,"Romantic TV Shows, TV Dramas",2018,TV Show
Danger Mouse: Classic Collection,10 Seasons,TV-Y,"British TV Shows, Kids' TV, TV Comedies",1992,TV Show
Aggretsuko,2 Seasons,TV-14,"Anime Series, International TV Shows",2019,TV Show
Black Spot,2 Seasons,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",2019,TV Show
El desconocido,2 Seasons,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2019,TV Show
Girlfriends' Guide to Divorce,5 Seasons,TV-14,"TV Comedies, TV Dramas",2019,TV Show
Marlon,2 Seasons,TV-PG,TV Comedies,2018,TV Show
Marvel's Jessica Jones,3 Seasons,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Dramas",2019,TV Show
Kakegurui,2 Seasons,TV-14,"Anime Series, International TV Shows, TV Thrillers",2019,TV Show
LEGO Friends: The Power of Friendship,2 Seasons,TV-Y7,Kids' TV,2016,TV Show
Herrens veje,2 Seasons,TV-MA,"International TV Shows, TV Dramas",2018,TV Show
March Comes in Like a Lion,2 Seasons,TV-14,"Anime Series, International TV Shows, Teen TV Shows",2017,TV Show
The Sniffer,3 Seasons,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",2017,TV Show
Mutant Busters,2 Seasons,TV-PG,"Kids' TV, TV Comedies",2017,TV Show
