,id,spoken_languages
1072,9350,en
1073,9208,en
1074,4244,en
1075,1852,en
1076,11820,en
1077,76493,en
1078,76493,he
1079,345,en
1080,196867,en
1081,256591,en
1082,59962,en
1083,36648,eo
1084,36648,en
1085,1880,en
1086,1880,ru
1087,1880,es
1088,9440,en
1089,71679,en
1090,10483,en
1091,11412,en
1092,11983,en
1093,6795,en
1094,550,en
1095,11170,en
1096,9292,en
1097,9292,it
1098,10783,en
1099,100241,en
1100,257,en
1101,9947,en
1102,9947,ja
1103,189,en
1104,12618,en
1105,253412,en
1106,1427,en
1107,818,en
1108,818,ja
1109,818,de
1110,818,fr
1111,16577,en
1112,329,en
1113,329,es
1114,12160,en
1115,9331,en
1116,300168,en
1117,300168,zh
1118,9072,en
1119,3536,en
1120,3536,fr
1121,3536,de
1122,3536,ru
1123,9087,en
1124,12177,en
1125,12138,en
1126,273248,es
1127,273248,en
1128,9955,en
1129,9955,ja
1130,50359,en
1131,50359,ja
1132,50359,th
1133,1271,en
1134,693,en
1135,14306,en
1136,497,fr
1137,497,en
1138,11199,en
1139,9982,en
1140,210577,en
1141,2501,en
1142,2501,fr
1143,2501,de
1144,2501,nl
1145,2501,it
1146,710,en
1147,710,ru
1148,710,es
1149,2275,en
1150,37165,en
1151,9837,he
1152,9837,en
1153,10708,en
1154,136400,es
1155,136400,en
1156,10992,en
1157,10992,fr
1158,10992,de
1159,10992,th
1160,9654,uk
1161,9654,en
1162,9654,it
1163,2642,en
1164,8916,en
1165,19899,en
1166,2119,en
1167,9641,en
1168,294254,en
1169,38167,pt
1170,38167,en
1171,38167,it
1172,5994,en
1173,39514,en
1174,39514,ru
1175,9563,en
1176,547,en
1177,1538,es
1178,1538,en
1179,9334,en
1180,9334,th
1181,11128,en
1182,75780,en
1183,8914,en
1184,13576,en
1185,39538,en
1186,39538,cn
1187,39538,zh
1188,10628,en
1189,14836,en
1190,8645,en
1191,8645,fr
1192,9509,en
1193,9509,es
1194,10067,en
1195,9384,en
1196,9384,ko
1197,9279,en
1198,1487,ru
1199,1487,en
1200,9422,en
1201,77174,en
1202,4824,en
1203,4824,ru
1204,9620,en
1205,9302,fr
1206,10199,en
1207,10771,cn
1208,10771,en
1209,3512,en
1210,137094,en
1211,274479,es
1212,274479,en
1213,267860,en
1214,8078,en
1215,7485,en
1216,170687,en
1217,6435,en
1218,137106,en
1219,10040,en
1220,6278,en
1221,82682,en
1222,17610,en
1223,22954,en
1224,16995,cn
1225,16995,en
1226,16558,en
1227,16558,de
1228,16558,ru
1229,16558,es
1230,9849,en
1231,9849,it
1232,5820,en
1233,16866,en
1234,16866,es
1235,201,en
1236,11775,fr
1237,11775,en
1238,87825,en
1239,12201,en
1240,11015,en
1241,9932,en
1242,13389,ru
1243,13389,en
1244,13389,es
1245,8838,en
1246,17332,en
1247,4958,en
1248,786,en
1249,9513,en
1250,9513,pt
1251,11679,en
1252,38321,pt
1253,38321,en
1254,38321,th
1255,14411,cn
1256,14411,en
1257,14411,it
1258,8413,en
1259,8413,la
1260,10052,en
1261,10052,es
1262,9676,en
1263,9664,en
1264,9664,fr
1265,2100,en
1266,10384,en
1267,137321,en
1268,123553,en
1269,11260,en
1270,9009,en
1271,11374,en
1272,2309,en
1273,8285,en
1274,8285,fr
1275,8285,ru
1276,210860,en
1277,2312,en
1278,9839,en
1279,9839,am
1280,9839,km
1281,9839,de
1282,9839,ce
1283,381902,zh
1284,13922,en
1285,13922,ja
1286,293660,en
1287,9713,en
1288,190859,en
1289,257445,en
1290,9007,en
1291,9007,zh
1292,9007,es
1293,889,en
1294,1370,en
1295,1370,ru
1296,4942,en
1297,4942,de
1298,347969,en
1299,24438,en
1300,24438,it
1301,24438,ru
1302,24438,es
1303,24438,uk
1304,116741,en
1305,35791,en
1306,35791,es
1307,35791,ja
1308,72431,en
1309,72431,fr
1310,72431,de
1311,1813,en
1312,1813,fr
1313,1813,de
1314,1813,it
1315,1813,zh
1316,1813,es
1317,87428,en
1318,8840,en
1319,10589,en
1320,71676,en
1321,1722,en
1322,1722,de
1323,1722,el
1324,1722,it
1325,10022,en
1326,10022,ko
1327,11358,en
1328,13,en
1329,6477,en
1330,6477,es
1331,6477,fr
1332,6477,ja
1333,1597,en
1334,10530,en
1335,1924,en
1336,9327,en
1337,8488,en
1338,10603,en
1339,10603,es
1340,8273,en
1341,109424,en
1342,109424,so
1343,35056,he
1344,35056,en
1345,8839,en
1346,156022,en
1347,7303,en
1348,7303,fr
1349,8963,en
1350,1402,en
1351,1402,cn
1352,9315,ar
1353,9315,de
1354,9315,en
1355,9315,fr
1356,9315,it
1357,9315,ja
1358,8984,en
1359,795,en
1360,795,pl
1361,24,en
1362,24,ja
1363,24,fr
1364,11353,en
1365,393,en
1366,393,zh
1367,393,es
1368,393,cn
1369,9618,en
1370,9374,en
1371,8584,en
1372,8584,zh
1373,8584,es
1374,2320,en
1375,58224,en
1376,1729,en
1377,1729,zh
1378,175574,en
1379,8077,en
1380,8818,en
1381,8818,es
1382,8195,en
1383,8195,fr
1384,8195,ru
1385,10586,en
1386,116149,en
1387,80035,en
1388,10632,en
1389,12117,en
1390,1792,en
1391,13260,en
1392,72197,en
1393,3580,en
1394,12123,en
1395,9566,en
1396,9833,it
1397,9833,en
1398,4517,sv
1399,4517,en
1400,4517,es
1401,8202,en
1402,16072,en
1403,34314,en
1404,19724,en
1405,145220,de
1406,145220,en
1407,14623,en
1408,42297,en
1409,2841,co
1410,2841,fr
1411,2841,de
1412,802,en
1413,10375,en
1414,36586,cs
1415,36586,ro
1416,36586,en
1417,11321,en
1418,11321,es
1419,70074,en
1420,242,en
1421,242,it
1422,242,de
1423,242,la
1424,9621,en
1425,1819,en
1426,8536,en
1427,8046,en
1428,1717,en
1429,479,en
1430,479,es
1431,479,de
1432,9444,en
1433,9444,ru
1434,9444,fr
1435,824,fr
1436,824,es
1437,824,en
1438,11456,en
1439,261023,en
1440,3683,en
1441,22803,en
1442,285923,es
1443,285923,en
1444,39437,en
1445,1950,en
1446,640,en
1447,640,fr
1448,97630,en
1449,97630,ar
1450,9767,en
1451,11631,en
1452,11631,el
1453,32856,en
1454,6519,en
1455,8741,en
1456,8741,ru
1457,49520,en
1458,1850,en
1459,524,en
1460,26389,de
1461,26389,en
1462,26389,fr
1463,26389,zh
1464,11817,en
1465,11817,bo
1466,11817,pa
1467,11817,de
1468,2123,en
1469,2123,de
1470,9907,en
1471,9969,en
1472,18239,en
1473,18239,it
1474,808,en
1475,38050,en
1476,8367,en
1477,9390,en
1478,9390,pl
1479,72105,en
1480,2898,en
1481,10312,en
1482,109443,en
1483,2022,en
1484,37686,en
1485,462,en
1486,462,fr
1487,9919,en
1488,187017,en
1489,628,en
1490,628,fr
1491,10201,et
1492,10201,en
1493,10201,ko
1494,302699,en
1495,9441,en
1496,274167,en
1497,224141,en
1498,388,en
1499,388,sq
1500,2112,en
1501,10329,en
1502,10329,fr
1503,74465,en
1504,13811,en
1505,6877,en
1506,10320,en
1507,50646,en
1508,8920,en
1509,13673,es
1510,13673,en
1511,60308,en
1512,6950,en
1513,6950,ko
1514,6950,fr
1515,225574,en
1516,225574,de
1517,13836,en
1518,752,en
1519,6038,en
1520,6038,zh
1521,9975,en
1522,11451,en
1523,12103,en
1524,12103,fr
1525,12103,it
1526,12103,es
1527,60304,en
1528,2251,en
1529,2251,fr
1530,46529,fr
1531,46529,en
1532,231,ar
1533,231,en
1534,231,fa
1535,231,ur
1536,231,fr
1537,231,zh
1538,300671,ar
1539,300671,en
1540,228326,en
1541,9754,en
1542,66,en
1543,66,es
1544,4421,en
1545,2649,cn
1546,2649,de
1547,2649,en
1548,588,en
1549,10393,en
1550,71552,en
1551,9631,en
1552,216282,en
1553,306,en
1554,928,en
1555,205587,en
1556,6623,en
1557,6623,ru
1558,6623,sr
1559,6623,bs
1560,6623,hr
1561,1577,en
1562,9801,de
1563,9801,th
1564,9801,en
1565,2116,en
1566,9624,cs
1567,9624,en
1568,14199,en
1569,1907,en
1570,1907,fr
1571,1907,hr
1572,1907,sv
1573,1907,th
1574,4599,en
1575,22832,en
1576,10390,en
1577,9879,en
1578,38579,en
1579,44603,en
1580,44603,fr
1581,11892,en
1582,9691,en
1583,9691,es
1584,9691,nl
1585,1248,en
1586,1248,de
1587,1248,ru
1588,12220,it
1589,12220,en
1590,72710,en
1591,10782,en
1592,9573,en
1593,9573,es
1594,4959,en
1595,4959,fr
1596,4959,de
1597,4959,it
1598,4959,ru
1599,10061,en
1600,10386,en
1601,421,en
1602,421,is
1603,421,pt
1604,421,fr
1605,421,tl
1606,421,de
1607,421,it
1608,316152,en
1609,316152,de
1610,11615,en
1611,11615,es
1612,13498,en
1613,241554,en
1614,2252,en
1615,2252,ru
1616,2252,tr
1617,2252,uk
1618,2252,ur
1619,11968,en
1620,10047,en
1621,10047,la
1622,38319,en
1623,69668,en
1624,9770,en
1625,11212,en
1626,11212,fr
1627,11212,de
1628,10533,en
1629,38363,en
1630,9923,en
1631,9923,pl
1632,11863,en
1633,18501,en
1634,109491,en
1635,9275,en
1636,329833,en
1637,12634,en
1638,10416,en
1639,47327,en
1640,15268,en
1641,10796,en
1642,9548,en
1643,18947,en
1644,1900,es
1645,1900,en
1646,89,de
1647,89,el
1648,89,en
1649,96724,en
1650,96724,fr
1651,198184,en
1652,9481,en
1653,4547,en
1654,53953,en
1655,53953,pl
1656,6415,en
1657,6415,ar
1658,181283,en
1659,9896,en
1660,167,en
1661,11232,en
1662,11232,fr
1663,1636,en
1664,1636,ru
1665,1636,es
1666,2148,en
1667,2148,it
1668,5176,en
1669,260346,en
1670,1389,en
1671,9894,en
1672,7504,hi
1673,8592,en
1674,913,en
1675,11091,en
1676,1368,en
1677,593,ru
1678,5393,en
1679,9095,en
1680,8874,en
1681,8874,fr
1682,8874,it
1683,11467,en
1684,320,en
1685,199,en
1686,20533,en
1687,10684,en
1688,1624,en
1689,325789,en
1690,325789,es
1691,113464,en
1692,888,en
1693,82675,en
1694,82675,tr
1695,82675,ar
1696,4256,en
1697,1493,en
1698,1493,es
1699,1493,fr
1700,1493,ru
1701,88751,en
1702,88751,is
1703,88751,it
1704,11130,en
1705,9944,en
1706,10731,en
1707,7350,en
1708,9869,en
1709,4379,cs
1710,4379,en
1711,4379,pt
